(dollar sign)	[(dollar sign), $]
air	[air, air, aérien, aérien, aérienne, aérienne, aériennes, aériennes, dair, dair, lair, lair]
airbus	[airbus, airbus]
saccompagne	[saccompagne, aire]
area	[area, aire, circonscriptions, circonscriptions, lespace, lespace, région, région, sphère, sphère, superficie, superficie, zone, zone]
areas	[areas, aires, domaines, domaines, endroits, endroits, régions, régions, zones, zones]
sense	[sense, aires]
sky	[sky, airs, ciel, ciel, sky, sky]
airways	[airways, airs]
easily	[easily, aisément, facilement, facilement]
adding	[adding, ajoutant]
add	[add, ajoute, ajouter, ajouter, sajoutent, sajoutent]
adds	[adds, ajoute]
to add	[to add, ajouter]
added	[added, ajouté, ajoutée, ajoutée]
akon	[akon, akon]
al	[al, al, coll, coll]
alain	[alain, alain]
alan	[alan, alain, alan, alan]
albanian	[albanian, albanais]
albert	[albert, albert, dalbert, dalbert]
alberto	[alberto, alberto]
albin	[albin, albin]
album	[album, album, lalbum, lalbum]
albums	[albums, albums, dalbums, dalbums]
vicinity, environs	[vicinity, environs, alentours]
around	[around, alentours, autour, autour, environ, environ, vers, vers]
alex	[alex, alex]
alez	[alez, alex]
alexander	[alexander, alexander, alexandre, alexandre]
alexandria	[alexandria, alexandrie, dalexandrie, dalexandrie]
alfred	[alfred, alfred, dalfred, dalfred]
alger	[alger, alger]
algeria	[algeria, algérie, lalgérie, lalgérie]
algerian	[algerian, algérien, algérienne, algérienne, algériens, algériens]
algerians	[algerians, algériens]
ali	[ali, ali]
alias	[alias, alias]
also known	[also known, alias]
alice	[alice, alice]
alimentary	[alimentary, alimentaire, alimentaires, alimentaires]
food	[food, alimentaire, alimentaires, alimentaires, alimentation, alimentation, aliments, aliments, lalimentation, lalimentation, nourriture, nourriture]
feeding	[feeding, alimentation]
alive	[alive, alive, vivantes, vivantes, vivants, vivants]
allah	[allah, allah]
were going to	[were going to, allaient]
would	[would, allaient, auraient, auraient, ferait, ferait, permettrait, permettrait, seraient, seraient, voudrait, voudrait]
were going	[were going, allaient]
will	[will, allait, auront, auront, fera, fera, feront, feront, gré, gré, ira, ira, permettra, permettra, restera, restera, sera, sera, seront, seront, va, va, volonté, volonté, vont, vont, will, will]
was going	[was going, allait]
would have	[would have, allait, auraient, auraient, aurait, aurait, laurait, laurait]
allan	[allan, allan]
going	[going, allant]
alert	[alert, allant]
allemagne	[allemagne, allemagne]
germany	[germany, allemagne, lallemagne, lallemagne]
german	[german, allemand, allemandes, allemandes, allemands, allemands, germanique, germanique, lallemand, lallemand]
germans	[germans, allemands]
allen	[allen, allen]
go	[go, aller, go, go, vont, vont]
alloy	[alloy, alliages]
alliance	[alliance, alliance, alliances, alliances, lalliance, lalliance]
alliances	[alliances, alliances]
allied	[allied, allié, alliées, alliées]
ally	[ally, allié]
allies	[allies, alliés]
allusion	[allusion, allusion]
and so	[and so, alors]
then	[then, alors, donc, donc, ensuite, ensuite, lors, lors, puis, puis, sensuit, sensuit]
alps	[alps, alpes]
alpha	[alpha, alpha]
alphabet	[alphabet, alphabet]
alponse	[alponse, alphonse]
alphonse	[alphonse, alphonse]
alsace	[alsace, alsace, dalsace, dalsace, lalsace, lalsace]
alsacian	[alsacian, alsacien, alsacienne, alsacienne, alsaciens, alsaciens]
alsatian	[alsatian, alsacien, alsacienne, alsacienne, alsaciens, alsaciens]
alternative	[alternative, alternatif, alternative, alternative]
alternatives	[alternatives, alternatives]
altitude	[altitude, altitude]
random	[random, aléatoire]
lovers	[lovers, amants]
amateur	[amateur, amateur, amateurs, amateurs]
admirer	[admirer, amateur]
amateurs	[amateurs, amateurs]
amateurish	[amateurish, amateurs]
environment	[environment, ambiance, environnement, environnement, lenvironnement, lenvironnement, milieux, milieux]
ambitious	[ambitious, ambitieux]
ambition	[ambition, ambition]
brought	[brought, amené, apporté, apporté, apportées, apportées, portées, portées]
america	[america, america, amérique, amérique, amériques, amériques, damérique, damérique, lamérique, lamérique]
american	[american, american, américain, américain, américaine, américaine, américaines, américaines, américains, américains]
friend	[friend, ami, amie, amie]
amino	[amino, aminés]
friends	[friends, amis, camarades, camarades, friends, friends]
friendship	[friendship, amitié, damitié, damitié, lamitié, lamitié]
amour	[amour, amour]
lovely	[lovely, amoureuse]
in love	[in love, amoureux]
lover	[lover, amoureux]
love affairs	[love affairs, amours]
love life	[love life, amours]
magnitude	[magnitude, ampleur]
amsterdam	[amsterdam, amsterdam]
brings	[brings, amène, apporte, apporte, lemporte, lemporte]
improvement	[improvement, amélioration, lamélioration, lamélioration]
to improve	[to improve, améliorer, daméliorer, daméliorer]
improve	[improve, améliorer]
set-up	[set-up, aménagements]
amenities	[amenities, aménagements]
developments	[developments, aménagements]
u.s.	[u.s., américaines]
americans	[americans, américains]
american indians	[american indians, amérindiens]
natives	[natives, amérindiens, indigènes, indigènes, originaires, originaires]
americas	[americas, amériques]
year	[year, an, année, année, annéelà, annéelà, lannée, lannée, millésime, millésime, year, year]
analogous	[analogous, analogue]
similar	[similar, analogue, hurdler, hurdler, semblable, semblable, semblables, semblables, similaire, similaire, similaires, similaires]
analysis	[analysis, analyse, danalyse, danalyse, lanalyse, lanalyse]
analyzes	[analyzes, analyses]
ancient	[ancient, ancien, ancienne, ancienne, anciennes, anciennes, anciens, anciens, antique, antique, antiques, antiques, danciens, danciens, lancien, lancien, lancienne, lancienne]
old	[old, ancienne, anciennes, anciennes, vieil, vieil, vieille, vieille, vieux, vieux, âgées, âgées]
former	[former, ancienne, anciennes, anciennes, antérieurs, antérieurs]
formerly	[formerly, anciennement, autrefois, autrefois, jadis, jadis]
ancestor	[ancestor, ancêtre]
ancestors	[ancestors, ancêtres]
and	[and, and, et, et]
anderson	[anderson, anderson]
andes	[andes, andes]
andrea (man's name)	[andrea (man's name), andrea]
andrea	[andrea, andrea]
andrew	[andrew, andrew]
andromede	[andromede, andromède]
close to the "heath / heather" family plant	[close to the "heath / heather" family plant, andromède]
andromeda	[andromeda, andromède]
advantage	[advantage, andromède, avantage, avantage]
andromeda (heather-peat plant)	[andromeda (heather-peat plant), andromède]
heather-peat plant (andromeda)	[heather-peat plant (andromeda), andromède]
andromeda (botanical term)	[andromeda (botanical term), andromède]
bog-rosemary	[bog-rosemary, andromède]
(botanical term)	[(botanical term), andromède, liseron, liseron]
andre	[andre, andré]
andré	[andré, andré]
andy	[andy, andy]
(man's name)	[(man's name), andy, auguste, auguste, benjamin, benjamin, gérard, gérard, jeanluc, jeanluc, norman, norman, rafael, rafael, stéphane, stéphane]
anecdotes	[anecdotes, anecdotes]
angel	[angel, angel]
angeles	[angeles, angeles]
angelina	[angelina, angelina]
angels	[angels, anges]
english	[english, anglais, anglaise, anglaise, anglaises, anglaises, anglophone, anglophone, anglophones, anglophones, langlais, langlais]
angle	[angle, angle, angles, angles]
angles	[angles, angles]
england	[england, angleterre, langleterre, langleterre]
englis-speaking	[englis-speaking, anglophone]
english-speaking	[english-speaking, anglophones]
anglosaxons	[anglosaxons, anglosaxons]
anglo-saxons	[anglo-saxons, anglosaxons]
animal	[animal, animal, animale, animale, animales, animales, lanimal, lanimal]
animals	[animals, animales, animaux, animaux]
animation	[animation, animation, danimation, danimation, lanimation, lanimation, lanime, lanime]
animate	[animate, anime]
led by, cartoon	[led by, cartoon, anime]
anime	[anime, anime, animé, animé]
animated	[animated, animé, animée, animée, animés, animés]
motion	[motion, animés, motion, motion]
ann	[ann, ann]
anna	[anna, anna]
anne	[anne, anne, danne, danne]
rings	[rings, anneaux]
annexe	[annexe, annexe]
annex	[annex, annexe]
annexes	[annexes, annexes]
annie	[annie, annie]
birthday	[birthday, anniversaire]
anniversary	[anniversary, anniversaire]
announces	[announces, annonce]
anounces	[anounces, annonce]
announced	[announced, annonce, annoncé, annoncé, annoncée, annoncée, prononcée, prononcée]
yearly	[yearly, annuel, annuelle, annuelle]
annual	[annual, annuel, annuelle, annuelle, annuelles, annuelles, renouée, renouée]
cancelled	[cancelled, annulé]
canceled	[canceled, annulé]
years	[years, année, années, années, ans, ans, dannée, dannée]
that year	[that year, annéelà]
this year	[this year, annéelà]
anormalities	[anormalities, anomalies]
abnormalities	[abnormalities, anomalies]
anomaly	[anomaly, anomalies]
anonymous	[anonymous, anonyme]
anorchide	[anorchide, anorchidie]
lack of testicles	[lack of testicles, anorchidie]
anorchidia	[anorchidia, anorchidie]
anorchism	[anorchism, anorchidie]
anorchidie	[anorchidie, anorchidie]
anorchid	[anorchid, anorchidie]
anorchia	[anorchia, anorchidie, cavité, cavité]
anorchidism	[anorchidism, anorchidie]
the absence of testicles	[the absence of testicles, anorchidie]
years old	[years old, ans]
antarctica	[antarctica, antarctique]
antarctic	[antarctic, antarctique]
antenna	[antenna, antenne, lantenne, lantenne]
antennas	[antennas, antennes]
anthony	[anthony, anthony, antoine, antoine]
anthony (man's name)	[anthony (man's name), anthony]
anthropology	[anthropology, anthropologie, lanthropologie, lanthropologie]
antibody	[antibody, anticorps]
antigens	[antigens, antigènes]
antigen	[antigen, antigènes, lantigène, lantigène]
west indies	[west indies, antilles]
antilles	[antilles, antilles]
antique	[antique, antiques]
antiques	[antiques, antiques]
antiquity	[antiquity, antiquité, lantiquité, lantiquité]
anti-semite	[anti-semite, antisémite]
anti-semitic	[anti-semitic, antisémite]
antisemitic	[antisemitic, antisémite]
antoine	[antoine, antoine]
antonio (man's name)	[antonio (man's name), antonio]
antonio	[antonio, antonio]
previous	[previous, antérieure, antérieurs, antérieurs, préalable, préalable, précédent, précédent, précédentes, précédentes]
august	[august, août, daoût, daoût, dauguste, dauguste]
aphrodite	[aphrodite, aphrodite]
highest point	[highest point, apogée]
heyday	[heyday, apogée]
apollo	[apollo, apollo]
apothecie	[apothecie, apothécie]
ascocarp	[ascocarp, apothécie]
apothecia	[apothecia, apothécie]
apothecary	[apothecary, apothécie]
apothecium	[apothecium, apothécie]
appear	[appear, apparaissent, apparaître, apparaître, figurent, figurent, paraissent, paraissent]
appears	[appears, apparait, apparaît, apparaît, paraît, paraît, paraître, paraître]
appeared	[appeared, apparaît, apparu, apparu, apparue, apparue, apparues, apparues, apparus, apparus, émergent, émergent]
device	[device, appareil, dispositif, dispositif, dédié, dédié, lappareil, lappareil]
appliance	[appliance, appareil, lappareil, lappareil]
devices	[devices, appareils, dispositifs, dispositifs]
apparently	[apparently, apparemment]
seemingly	[seemingly, apparemment, priori, priori]
appearance	[appearance, apparence, apparition, apparition, apparitions, apparitions, lapparence, lapparence, lapparition, lapparition, laspect, laspect]
appearances	[appearances, apparitions]
flat	[flat, appartement, bémol, bémol]
apartment	[apartment, appartement, lappartement, lappartement]
apartments	[apartments, appartements]
belonging	[belonging, appartenant]
belongs	[belongs, appartiennent, appartient, appartient]
seemed	[seemed, apparue, semblait, semblait]
apparent	[apparent, apparues]
call	[call, appel, appeler, appeler, appelle, appelle, appellent, appellent, disent, disent]
name	[name, appellation, appelle, appelle, désignation, désignation, nom, nom, nomme, nomme, nommer, nommer, préciser, préciser, prénom, prénom, voltaire, voltaire]
calls	[calls, appelle]
called	[called, appelé, appelée, appelée, appelées, appelées, appelés, appelés, dite, dite, dénommé, dénommé]
apple	[apple, apple, pomme, pomme, pommes, pommes]
application	[application, application, dapplication, dapplication, demande, demande, lapplication, lapplication]
app	[app, application]
software	[software, application, logiciel, logiciel, logiciels, logiciels]
applications	[applications, applications]
apply	[apply, applique, appliquer, appliquer]
applies	[applies, applique, sapplique, sapplique]
aplly	[aplly, appliquer]
applied	[applied, appliqué, appliquée, appliquée, appliquées, appliquées]
contribution	[contribution, apport, apports, apports, contribution, contribution, contributions, contributions]
provision	[provision, apport]
bring	[bring, apportent, apporter, apporter]
contributions	[contributions, apports, contributions, contributions]
made	[made, apportées, constituées, constituées, faisait, faisait, firent, firent, fit, fit, pratiqué, pratiqué, rendu, rendu, rendus, rendus, réalisés, réalisés]
done	[done, apportées, effectués, effectués, exécuté, exécuté, fait, fait, faite, faite, faites, faites]
learner	[learner, apprenant]
learning	[learning, apprenant, apprentissage, apprentissage, lapprentissage, lapprentissage]
hearing	[hearing, apprenant]
learns	[learns, apprend]
teaches	[teaches, apprend, enseigne, enseigne]
learn	[learn, apprendre, appris, appris]
learned	[learned, appris, savant, savant]
approach	[approach, approche, démarche, démarche]
approaches	[approaches, approches]
approximately	[approximately, approximativement]
approximatively	[approximatively, approximativement]
appreciate	[appreciate, apprécie, apprécié, apprécié]
appreciated	[appreciated, apprécie, apprécié, apprécié]
liked	[liked, apprécié]
support	[support, appui, lappui, lappui, portant, portant, soutenir, soutenir, soutien, soutien, soutiennent, soutiennent, soutient, soutient, support, support, supporte, supporte, supporter, supporter]
after	[after, après]
apostles	[apostles, apôtres]
ar	[ar, ar]
arab	[arab, arabe, arabes, arabes, larabe, larabe]
arabian	[arabian, arabe]
arabs (armees arabes=arab armies)	[arabs (armees arabes=arab armies), arabes]
arabia	[arabia, arabie, larabie, larabie, saoudite, saoudite]
arabia peninsula	[arabia peninsula, arabie]
aragon	[aragon, aragon]
arbitrary	[arbitrary, arbitraire]
tree	[tree, arbre]
trees	[trees, arbres]
arc	[arc, arc]
arch	[arch, arc, arcs, arcs, arcsboutants, arcsboutants, larc, larc]
archaic	[archaic, archaïque]
architect	[architect, architecte, larchitecte, larchitecte]
architects	[architects, architectes]
architectural	[architectural, architectural]
architecture	[architecture, architecture, darchitecture, darchitecture, larchitecture, larchitecture]
archives	[archives, archives]
archaeological	[archaeological, archéologique, archéologiques, archéologiques]
archeological	[archeological, archéologique, archéologiques, archéologiques]
archeologic	[archeologic, archéologique, archéologiques, archéologiques]
arches	[arches, arcs]
buttresses	[buttresses, arcsboutants]
arctic	[arctic, arctique]
are	[are, are, constituent, constituent, soient, soient, sommes, sommes, sont, sont, trouvent, trouvent, visent, visent]
money	[money, argent, dargent, dargent, money, money]
argentinian	[argentinian, argentin]
argentine	[argentine, argentin]
argentina	[argentina, argentine, largentine, largentine]
plea	[plea, argument]
argument	[argument, arguments, controverse, controverse, dispute, dispute]
aristotle	[aristotle, aristote, daristote, daristote]
aristote	[aristote, aristote]
armageddon	[armageddon, armageddon]
armand	[armand, armand]
weapon	[weapon, arme]
weapons	[weapons, armes, darmes, darmes]
arms	[arms, armes, armoiries, armoiries, bras, bras]
armorial bearing	[armorial bearing, armoiries]
armstrong	[armstrong, armstrong]
armed	[armed, armé]
army	[army, armée]
armies	[armies, armées]
armenian	[armenian, arménien]
arnaud	[arnaud, arnaud]
arnold	[arnold, arnold]
arrangements	[arrangements, arrangements]
arriving	[arriving, arrivant]
coming	[coming, arrivant, provenant, provenant, venant, venant, venue, venue, venues, venues, viennent, viennent]
arrive	[arrive, arrive, arrivent, arrivent]
arrives	[arrives, arrive, arrivés, arrivés]
come to	[come to, arrivent]
arrive to (achieve)	[arrive to (achieve), arriver]
arrived	[arrived, arrivé, arrivés, arrivés]
arrival	[arrival, arrivée, larrivée, larrivée]
back	[back, arrière, back, back, dos, dos, larrière, larrière, renvoyé, renvoyé, revers, revers]
rear	[rear, arrière]
ward	[ward, arrondissement]
district	[district, arrondissement, arrondissements, arrondissements, circonscription, circonscription, district, district, département, département, province, province, quartier, quartier]
wards	[wards, arrondissements]
boroughs	[boroughs, arrondissements]
stoppage	[stoppage, arrêt]
stop	[stop, arrêt, arrêter, arrêter]
arrest	[arrest, arrêter, darrêt, darrêt]
decree	[decree, arrêté, décret, décret]
stopped	[stopped, arrêté, cessé, cessé, sarrête, sarrête]
arrested	[arrested, arrêtés]
jailed	[jailed, arrêtés]
arsenal	[arsenal, arsenal]
art	[art, art, arts, arts]
arthur	[arthur, arthur]
article	[article, article]
articles	[articles, articles, darticles, darticles]
